closest_ivt_unit,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt,ivt_rate,admissions_2122
B152TH,1323.6611,963012,727.5367,0.183,31.4883,19.8813,18.653,18.653,0.0,339290,906743,0.3742,55724,906743,0.0615,157057,889227,0.1766,144555,963012,0.1501,926409.0,36603.0,0.038,6329.0,138226.0,0.9562,0.0,963012.0,1.0,8.9,1138
B714HJ,1297.0892,1012389,780.5084,0.2026,33.6555,19.3557,37.0252,18.3252,18.7,344316,958616,0.3592,65605,958616,0.0684,180021,947524,0.19,159109,1012389,0.1572,981575.0,30814.0,0.0304,20680.0,138429.0,0.87,1012389.0,0.0,0.0,6.7,741
BA13NG,3801.3317,483031,127.0689,0.0835,13.336,25.1993,57.9909,24.2909,33.7,34092,448923,0.0759,19467,448923,0.0434,70366,438597,0.1604,102838,483031,0.2129,365427.0,117604.0,0.2435,38113.0,64725.0,0.6294,483031.0,0.0,0.0,7.5,654
BA214AT,4614.4458,274432,59.4724,0.0955,16.8582,24.2756,98.2951,23.7951,74.5,13868,261069,0.0531,12458,261069,0.0477,45407,254179,0.1786,72947,274432,0.2658,96824.0,177608.0,0.6472,27527.0,45420.0,0.6226,274432.0,0.0,0.0,10.9,414
BB23HH,2735.2269,486120,177.7257,0.1774,31.7891,20.2955,45.5304,19.3304,26.2,97523,473321,0.206,32885,473321,0.0695,93679,468472,0.2,88140,486120,0.1813,422949.0,63171.0,0.1299,6443.0,81697.0,0.9269,486120.0,0.0,0.0,10.8,765
BD96RJ,4633.9005,680561,146.8657,0.1672,30.7408,18.795,41.5487,16.4487,25.1,198475,657137,0.302,36696,657137,0.0558,108565,648435,0.1674,114880,680561,0.1688,621627.0,58934.0,0.0866,10255.0,104625.0,0.9107,680561.0,0.0,0.0,10.2,762
BH77DW,1921.8451,579796,301.6872,0.0989,15.9361,18.6755,56.8363,17.7363,39.1,51903,554672,0.0936,29557,554672,0.0533,101823,544789,0.1869,146206,579796,0.2522,536169.0,43627.0,0.0752,4833.0,141373.0,0.9669,579796.0,0.0,0.0,10.4,1183
BL97TD,1615.848,864921,535.2738,0.1916,32.5734,18.7077,42.7619,18.6619,24.1,158639,824164,0.1925,58341,824164,0.0708,161182,817029,0.1973,146629,864921,0.1695,855755.0,9166.0,0.0106,3061.0,143568.0,0.9791,864921.0,0.0,0.0,9.6,861
BN112DH,1238.6313,309195,249.6263,0.092,15.9361,16.412,48.0089,16.4089,31.6,23489,290158,0.081,14735,290158,0.0508,51502,284833,0.1808,78265,309195,0.2531,234918.0,74277.0,0.2402,4051.0,74214.0,0.9482,309195.0,0.0,0.0,11.1,542
BN212UD,3165.2273,461493,145.8009,0.1242,20.5118,24.3599,64.788,24.588,40.2,36494,435288,0.0838,25991,435288,0.0597,84296,425650,0.198,123177,461493,0.2669,352130.0,109363.0,0.237,43909.0,79268.0,0.6435,461493.0,0.0,0.0,7.7,737
BN25BE,1144.9668,468512,409.1926,0.1064,17.6072,20.2891,18.7041,18.7041,0.0,68051,435321,0.1563,21558,435321,0.0495,67459,425712,0.1585,76348,468512,0.163,440664.0,27848.0,0.0594,10725.0,65623.0,0.8595,0.0,468512.0,1.0,4.8,567
BR68ND,1194.9224,622968,521.346,0.1049,16.5996,18.2309,53.1873,18.3873,34.8,159241,587046,0.2713,25725,587046,0.0438,85969,582420,0.1476,107901,622968,0.1732,588880.0,34088.0,0.0547,4073.0,103828.0,0.9623,622968.0,0.0,0.0,13.3,847
BS105NB,2163.0097,768942,355.4963,0.113,20.4057,20.0888,18.9677,18.9677,0.0,116691,703995,0.1658,35038,703995,0.0498,109638,689433,0.159,119323,768942,0.1552,700096.0,68846.0,0.0895,7384.0,111939.0,0.9381,0.0,768942.0,1.0,7.6,775
BS234TQ,2004.7423,264898,132.1357,0.1051,17.2638,21.3251,64.4063,21.0063,43.4,13356,248243,0.0538,13595,248243,0.0548,46001,244105,0.1884,66570,264898,0.2513,195428.0,69470.0,0.2623,9471.0,57099.0,0.8577,264898.0,0.0,0.0,8.3,157
CA27HY,13940.3174,313484,22.4876,0.1136,21.9136,32.2638,107.3562,31.7562,75.6,10679,311735,0.0343,18768,311735,0.0602,59447,307367,0.1934,74719,313484,0.2384,148989.0,164495.0,0.5247,45434.0,29285.0,0.3919,313484.0,0.0,0.0,13.0,485
CB20QQ,5322.2747,523128,98.2903,0.0648,10.9387,24.8077,23.9631,23.9631,0.0,84765,493471,0.1718,17401,493471,0.0353,64887,473109,0.1372,95213,523128,0.182,310069.0,213059.0,0.4073,31772.0,63441.0,0.6663,0.0,523128.0,1.0,14.0,757
CF144XW,1272.5553,617855,485.5231,0.1569,21.2708,16.7434,16.1025,16.1025,0.0,80599,584572,0.1379,39718,584572,0.0679,109786,570525,0.1924,101839,617855,0.1648,583226.0,34629.0,0.056,355.0,101484.0,0.9965,0.0,617855.0,1.0,8.3,737
CF311RQ,1754.5789,292477,166.6936,0.1762,23.4083,19.0683,47.3162,18.9162,28.4,9971,279132,0.0357,25997,279132,0.0931,68805,274788,0.2504,59560,292477,0.2036,208401.0,84076.0,0.2875,1710.0,57850.0,0.9713,292477.0,0.0,0.0,10.3,507
CF479DT,5084.6498,266357,52.3845,0.2045,29.2243,20.4598,57.634,19.634,38.0,9395,260661,0.036,26892,260661,0.1032,67769,258182,0.2625,54618,266357,0.2051,177631.0,88726.0,0.3331,5047.0,49571.0,0.9076,266357.0,0.0,0.0,13.9,1052
CH21UL,1672.9037,295509,176.6444,0.1144,17.5434,17.6717,59.5716,17.2716,42.3,16841,284241,0.0592,15614,284241,0.0549,50399,281545,0.179,61312,295509,0.2075,240445.0,55064.0,0.1863,1317.0,59995.0,0.9785,295509.0,0.0,0.0,7.7,452
CH495PE,526.9375,342566,650.1075,0.1706,28.9483,13.5921,40.9304,13.6304,27.3,16777,338016,0.0496,24970,338016,0.0739,72642,334491,0.2172,76674,342566,0.2238,338658.0,3908.0,0.0114,0.0,76674.0,1.0,342566.0,0.0,0.0,6.4,642
CM17ET,2657.1055,356777,134.2728,0.0849,13.5422,21.6821,57.9792,21.0792,36.9,28741,332779,0.0864,13437,332779,0.0404,48951,328729,0.1489,70707,356777,0.1982,240251.0,116526.0,0.3266,6681.0,64026.0,0.9055,356777.0,0.0,0.0,8.4,669
CO45JL,3042.672,425654,139.8948,0.1202,20.7929,22.8884,79.2395,20.8395,58.4,31498,387883,0.0812,21122,387883,0.0545,71562,378736,0.1889,98979,425654,0.2325,257667.0,167987.0,0.3947,11758.0,87221.0,0.8812,425654.0,0.0,0.0,6.9,686
CT13NG,4162.9648,663920,159.4825,0.1325,22.466,28.864,98.9997,27.6997,71.3,60103,617289,0.0974,37081,617289,0.0601,116063,601145,0.1931,149578,663920,0.2253,499593.0,164327.0,0.2475,65122.0,84456.0,0.5646,663920.0,0.0,0.0,16.3,756
CV22DX,5442.22,1006458,184.9352,0.1187,20.0325,22.2209,20.9304,20.9304,0.0,173074,900556,0.1922,47941,900556,0.0532,149580,882099,0.1696,177496,1006458,0.1764,841503.0,164955.0,0.1639,22415.0,155081.0,0.8737,0.0,1006458.0,1.0,13.8,869
CW14QJ,2352.495,315286,134.022,0.0972,17.2081,19.3732,48.0012,18.6012,29.4,16976,296999,0.0572,15846,296999,0.0534,51272,293504,0.1747,66896,315286,0.2122,245842.0,69444.0,0.2203,1726.0,65170.0,0.9742,315286.0,0.0,0.0,1.9,473
DA28DA,1328.7105,767029,577.2732,0.1204,20.116,17.2472,46.7741,17.3741,29.4,172026,700031,0.2457,33948,700031,0.0485,106053,693543,0.1529,115369,767029,0.1504,692695.0,74334.0,0.0969,754.0,114615.0,0.9935,767029.0,0.0,0.0,8.7,589
DE223NE,4371.0343,660493,151.1068,0.1161,19.7383,19.9613,47.4195,19.0195,28.4,89962,620686,0.1449,33203,620686,0.0535,108056,610844,0.1769,125655,660493,0.1902,507153.0,153340.0,0.2322,16989.0,108666.0,0.8648,660493.0,0.0,0.0,6.7,1299
DH15TW,5843.6994,451141,77.2013,0.1585,25.4335,20.4652,47.0204,19.7204,27.3,15658,430113,0.0364,33603,430113,0.0781,94799,418164,0.2267,94810,451141,0.2102,253943.0,197198.0,0.4371,7666.0,87144.0,0.9191,451141.0,0.0,0.0,9.8,961
DN157BH,3759.8641,358846,95.4412,0.1624,26.9784,29.1221,70.8107,28.5107,42.3,21396,351428,0.0609,20719,351428,0.059,65246,347667,0.1877,76665,358846,0.2136,249803.0,109043.0,0.3039,40254.0,36411.0,0.4749,358846.0,0.0,0.0,7.2,641
DN25LT,4155.0342,634442,152.6924,0.1595,28.99,19.7571,53.047,19.347,33.7,36622,606985,0.0603,45750,606985,0.0754,129506,597915,0.2166,125953,634442,0.1985,504191.0,130251.0,0.2053,9641.0,116312.0,0.9235,634442.0,0.0,0.0,9.5,694
DT12JY,3837.2563,213534,55.6476,0.0993,18.6683,23.408,89.9342,22.9342,67.0,9570,206256,0.0464,10754,206256,0.0521,39276,200057,0.1963,60490,213534,0.2833,116748.0,96786.0,0.4533,12937.0,47553.0,0.7861,213534.0,0.0,0.0,11.0,526
DY12HQ,2062.063,543415,263.5298,0.1503,24.0023,15.9299,40.1998,15.0998,25.1,59387,525778,0.113,33512,525778,0.0637,101018,520869,0.1939,114432,543415,0.2106,489187.0,54228.0,0.0998,4577.0,109855.0,0.96,543415.0,0.0,0.0,8.2,549
E11BB,367.6352,1479138,4023.385,0.1725,28.1127,15.9919,15.3983,15.3983,0.0,862005,1258344,0.685,71161,1258344,0.0566,172211,1244247,0.1384,121918,1479138,0.0824,1479138.0,0.0,0.0,0.0,121918.0,1.0,0.0,1479138.0,1.0,13.4,861
EX25DW,4464.8713,362907,81.2805,0.0896,14.9489,23.4497,80.3173,20.8173,59.5,21844,324512,0.0673,15965,324512,0.0492,57372,314561,0.1824,86123,362907,0.2373,208937.0,153970.0,0.4243,14489.0,71634.0,0.8318,362907.0,0.0,0.0,11.1,809
EX314JB,6366.9612,188700,29.6374,0.1149,21.6383,27.5949,117.2308,26.6308,90.6,6293,178072,0.0353,10466,178072,0.0588,34401,174618,0.197,50884,188700,0.2697,73537.0,115163.0,0.6103,16841.0,34043.0,0.669,188700.0,0.0,0.0,11.1,395
FY38NR,708.0524,287636,406.2355,0.1839,32.422,15.4393,39.82,14.72,25.1,14735,284573,0.0518,23646,284573,0.0831,66870,278232,0.2403,71052,287636,0.247,270038.0,17598.0,0.0612,0.0,71052.0,1.0,287636.0,0.0,0.0,7.9,674
GL13NN,5162.654,557219,107.9327,0.096,15.5961,22.104,67.5562,20.9562,46.6,46324,520921,0.0889,23390,520921,0.0449,82651,511564,0.1616,118488,557219,0.2126,427518.0,129701.0,0.2328,23829.0,94659.0,0.7989,557219.0,0.0,0.0,11.1,832
GU167UJ,3270.0537,713118,218.0753,0.0677,10.4965,20.5143,65.6136,20.1136,45.5,89938,681888,0.1319,23121,681888,0.0339,84564,666596,0.1269,133322,713118,0.187,590864.0,122254.0,0.1714,19593.0,113729.0,0.853,713118.0,0.0,0.0,15.7,661
HA13UJ,759.0955,1383341,1822.3543,0.1281,19.8527,16.8535,41.9738,16.8738,25.1,863615,1288965,0.67,62358,1288965,0.0484,179015,1274799,0.1404,195054,1383341,0.141,1369291.0,14050.0,0.0102,3884.0,191170.0,0.9801,1383341.0,0.0,0.0,13.2,1431
HP112TT,2579.2149,511015,198.1281,0.0709,10.7326,19.6977,54.4063,19.6063,34.8,115427,489724,0.2357,17482,489724,0.0357,62167,483417,0.1286,96512,511015,0.1889,411558.0,99457.0,0.1946,7524.0,88988.0,0.922,511015.0,0.0,0.0,14.0,817
HR12ER,9503.6427,251858,26.5012,0.1011,18.4745,27.8867,98.2852,25.8852,72.4,13823,240846,0.0574,12968,240846,0.0538,44067,236925,0.186,65470,251858,0.2599,110346.0,141512.0,0.5619,28215.0,37255.0,0.569,251858.0,0.0,0.0,9.8,510
HU32JZ,5309.3843,553011,104.1573,0.1598,27.5462,24.2538,21.2773,21.2773,0.0,36185,544954,0.0664,34196,544954,0.0628,101258,535247,0.1892,119321,553011,0.2158,442669.0,110342.0,0.1995,32300.0,87021.0,0.7293,0.0,553011.0,1.0,13.9,919
HX30PW,1823.8542,464874,254.8855,0.1396,24.5494,18.3904,48.3032,17.8032,30.5,76934,446504,0.1723,24822,446504,0.0556,76168,440950,0.1727,87467,464874,0.1882,409644.0,55230.0,0.1188,3511.0,83956.0,0.9599,464874.0,0.0,0.0,14.4,700
IP332QZ,4905.2514,263833,53.7858,0.081,15.5653,23.7317,69.7227,24.2227,45.5,28479,248677,0.1145,10640,248677,0.0428,38738,243380,0.1592,60057,263833,0.2276,116503.0,147330.0,0.5584,13761.0,46296.0,0.7709,263833.0,0.0,0.0,9.2,563
IP45PD,3728.5617,325253,87.2328,0.1013,18.5584,20.3728,95.4539,18.7539,76.7,32837,310738,0.1057,14343,310738,0.0462,52534,304467,0.1725,73741,325253,0.2267,219718.0,105535.0,0.3245,13488.0,60253.0,0.8171,325253.0,0.0,0.0,10.7,467
KT160PZ,1763.6195,895528,507.7784,0.0848,14.2852,19.4741,55.5472,19.6472,35.9,261391,835386,0.3129,31793,835386,0.0381,106737,816757,0.1307,141754,895528,0.1583,854233.0,41295.0,0.0461,5516.0,136238.0,0.9611,895528.0,0.0,0.0,10.2,615
KT187EG,1108.8276,537720,484.9446,0.0664,10.2316,16.4275,42.6105,16.4105,26.2,121038,506106,0.2392,18128,506106,0.0358,63790,496596,0.1285,100304,537720,0.1865,514079.0,23641.0,0.044,1949.0,98355.0,0.9806,537720.0,0.0,0.0,5.3,318
L355DR,1508.6983,784103,519.7215,0.1659,28.9708,18.8874,37.4608,18.7608,18.7,45205,761478,0.0594,56044,761478,0.0736,154614,753968,0.2051,150422,784103,0.1918,756632.0,27471.0,0.035,1220.0,149202.0,0.9919,784103.0,0.0,0.0,13.5,997
L97AL,1547.8112,869363,561.6725,0.2095,36.6013,19.2984,18.611,18.611,0.0,78500,823672,0.0953,67787,823672,0.0823,178843,803140,0.2227,156112,869363,0.1796,837308.0,32055.0,0.0369,16634.0,139478.0,0.8934,0.0,869363.0,1.0,9.4,501
LA144LF,3741.7772,127068,33.9593,0.1177,23.3248,23.8916,96.6687,22.1687,74.5,4777,130441,0.0366,8913,130441,0.0683,28195,127473,0.2212,32334,127068,0.2545,56097.0,70971.0,0.5585,11768.0,20566.0,0.636,127068.0,0.0,0.0,14.8,216
LA14RP,7467.5942,235093,31.4818,0.1033,19.9832,25.0317,53.2388,22.7388,30.5,14742,223039,0.0661,11743,223039,0.0526,39894,212059,0.1881,54360,235093,0.2312,134874.0,100219.0,0.4263,18357.0,36003.0,0.6623,235093.0,0.0,0.0,7.9,495
LE15WW,4641.2686,929248,200.2142,0.1225,19.4013,18.7795,49.085,17.485,31.6,247038,855903,0.2886,42277,855903,0.0494,135327,834308,0.1622,160731,929248,0.173,773348.0,155900.0,0.1678,11754.0,148977.0,0.9269,929248.0,0.0,0.0,12.4,1205
LL137TD,8948.3434,310017,34.6452,0.1224,17.4825,24.2019,77.1412,23.0412,54.1,15867,302099,0.0525,16990,302099,0.0562,57340,297527,0.1927,70933,310017,0.2288,140632.0,169385.0,0.5464,15985.0,54948.0,0.7746,310017.0,0.0,0.0,15.4,369
